gene	average
CDK6	7.53663
P4HA2	6.627327
AKAP8L	6.7291303
CDC20	6.490836
NR1H2	6.3064647
CDKN1A	7.6767693
FZD1	6.4872594
HAT1	7.873274
MPZL1	7.449677
SESN1	6.9637074
NCK2	7.653795
MYBL2	6.217609
RGS2	8.030555
ALDH7A1	6.8821993
LPGAT1	7.634283
CDKN2A	6.4801607
SLC35A3	7.2579784
CDK5R1	5.750019
ARNT2	5.1746163
PRAF2	6.515387
VGLL4	7.58053
FBXO7	8.2769785
HOXA10	6.1780252
SRC	6.4150677
MOK	5.795667
FKBP14	6.511747
POLR2K	7.859761
P4HTM	6.9373975
PPP1R13B	6.1630864
HERC6	6.411818
BUB1B	6.531055
HDAC6	7.124858
TERF2IP	7.998115
BNIP3	7.577535
RELB	5.984192
RRAGA	8.051309
TJP1	7.1749153
PIH1D1	7.6043243
SLC25A4	7.1056266
NPEPL1	6.648828
ADGRG1	7.2341194
MAPK1IP1L	8.918194
MCM3	7.399071
WASF3	5.8642535
EDN1	6.239613
TRAPPC6A	6.800687
ANO10	6.4437494
GFUS	7.4884706
APOE	7.15754
PLA2G15	5.960422
MAP4K4	7.5262465
GNB5	6.799327
DMAC2L	7.0398636
ZNF395	7.4244547
PLEKHM1	7.1787066
GALE	6.6120887
STX4	7.2804255
ZDHHC6	7.567826
COL4A1	6.8016
MRPS16	7.3879957
TICAM1	6.0547075
CTNND1	7.090107
PPARD	7.345272
TPD52L2	7.6501007
PSMF1	7.903625
HMGCR	7.443635
GNA15	6.146082
ECH1	7.7281647
GATA2	6.534239
HEBP1	7.6496496
COQ8A	7.4020143
ST7	6.169138
CCL2	5.834087
PTGS2	5.8739095
GPER1	5.524787
SATB1	7.421647
DYRK3	5.917738
STAT1	8.595689
RPA1	8.123383
NUP93	7.152374
ZNF274	7.2030015
PPP2R5A	7.61211
BPHL	6.234626
ABCF3	6.5372157
CHEK2	6.021809
TOR1A	7.517453
HACD3	8.409254
LSM5	8.230745
RFNG	6.3607116
ZNF451	7.6798973
INPP1	7.069322
RPS5	9.742006
PECR	7.1177
CBR1	6.6955724
CCNE2	6.1309824
AGL	7.3903975
MRPL12	7.211099
TSEN2	6.2617803
PARP1	7.650948
RRP1B	7.957463
HMGCS1	7.202651
TSC22D3	8.304408
NRAS	8.02157
RPN1	8.156948
TSPAN3	8.450702
PEX11A	6.0743413
BTK	6.024166
PIN1	6.820291
TNIP1	7.975829
TRIB1	8.054623
GLI2	5.8572025
IARS2	8.063448
ADAM10	8.584818
HIF1A	9.07287
TCEAL4	7.8716493
GMNN	7.4434695
SKIC8	8.176455
MLLT11	7.1781654
MTF2	7.567538
PROS1	6.3995743
KIF14	5.982075
PCM1	8.020714
NISCH	7.899655
RALB	7.73082
STX1A	5.690031
NOL3	6.3617563
RRP8	6.620073
AXIN1	6.1131086
ABCF1	7.590289
MAP7	6.6190057
TSKU	6.287133
PTPRK	7.0356627
PTK2	7.443236
MUC1	6.865475
DIPK1A	6.789025
RAB4A	7.4723353
PAF1	6.93482
PCMT1	8.3249235
CDK7	7.284358
KAT6B	7.4221425
ANXA7	8.45487
COG2	7.117261
PPARG	5.3176565
ASCC3	6.9544163
H2BC21	6.9340644
PIK3R3	6.563855
MAPKAPK5	6.6290293
UBE3B	7.1275063
DNMT1	7.550997
ARHGEF2	7.9393806
BAMBI	6.3310328
ARPP19	8.501574
CASP10	6.1430116
PCBD1	6.668913
SQOR	7.9469585
USP7	8.187533
COG4	6.8950014
PTPN6	7.3325343
CHERP	7.980926
BLTP2	7.4027076
FYN	7.722017
CNDP2	8.13507
IL1B	6.666377
PAK1	7.391714
THAP11	7.187796
GLOD4	7.5126567
BACE2	6.836884
CDKN1B	8.263885
PDS5A	7.931475
ARL4C	7.6163735
TIMP2	8.380974
TXLNA	6.7921963
ZW10	6.694691
ADRB2	6.115009
ID2	8.155063
MTFR1	7.14999
TSPAN6	6.7515316
ALDOA	9.51806
NFKBIE	6.4416857
TCTA	6.8944964
KDM3A	7.6253257
MBNL2	7.750385
GFPT1	7.469387
PTK2B	6.4223166
TNFRSF21	7.070788
PSMD4	8.631624
PIGB	6.865715
ISOC1	7.323748
DUSP22	7.7113576
PSMD9	7.7748446
SNX11	7.136437
CCNA2	6.783018
RPP38	6.8012257
PLCB3	6.293269
SKP1	9.745948
APBB2	6.782398
ATP2C1	7.3040233
CARMIL1	6.5320907
RRS1	7.276548
ITFG1	7.872436
RNMT	7.165044
IGFBP3	7.0806146
ERBB2	6.696119
